Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
1;VVPP;ADJA;aufweichen;23;NZZ_1998_10_21_a80_seg6_s7;22;Full|Psp;Bereits stellt sich der designierte Regierungschef auch hinter Prodis Pläne zur Schaffung eines neuen Sozialpaktes, in dessen Rahmen die Arbeitsmarktverkrustungen sukzessive aufgeweicht werden sollten und die unternehmerische Investitionstätigkeit gefördert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2;VVPP;ADJA;verbessern;16;NZZ_1999_06_22_a136_seg2_s11;15;Full|Psp;Die Perspektiven für eine Ankurbelung der japanischen Exporte haben sich dank dem gemässigten Yen-Sinkflug sukzessive verbessert, was mit Blick auf den enormen Kapazitätsüberhang der Industrie und die schwache Exportleistung des letzten Monats sehr gelegen kommt .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
3;VVPP;ADJA;abbauen;21;NZZ_1995_12_01_a74_seg7_s11;20;Full|Psp;Der Europäische Rat hat aber in Essen bestimmt, dass im Rahmen einer Strategie der Heranführung alle potentiellen Beitrittshindernisse sukzessive abgebaut werden sollen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
4;VVINF;ADJA;leeren;10;NZZ_1994_03_09_a111_seg19_s4;8;Full|-2;Die Feuerwehr sei dabei, die Tankwagen sukzessive zu leeren .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
5;VVFIN;ADJA;machen;8;NZZ_1996_09_04_a82_seg3_s6;6;Full|3|Sg|Pres|Subj;Da die zurückgestaute Preissteigerung sich sukzessive bemerkbar mache, werde dies zu einer leichten Beschleunigung der Inflationsrate auf 7% im Jahresdurchschnitt 1997 führen .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVPP;ADJA;restaurieren;9;NZZ_1998_08_31_a5_seg20_s2;8;Full|Psp;Jahrzehntelang vernachlässigt, werden die Gebäude nun sukzessive restauriert .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
7;VVPP;ADJA;reduzieren;20;NZZ_1997_03_27_a75_seg8_s10;19;Full|Psp;Aus diesem Grunde seien die bestehenden Beteiligungen von Axa-UAP an führenden französischen Gesellschaften in den letzten zwei Monaten sukzessive reduziert worden, wobei der Wert der verbleibenden Partizipationen Ende Februar rund 32 Mrd. fFr. erreichte .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
8;VVPP;ADJA;abstoßen;13;NZZ_1994_03_12_a38_seg8_s1;12;Full|Psp;Es ist zu erwarten, dass die übrigen Aktivitäten von MH sukzessive abgestossen werden .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
9;VVPP;ADJA;verstärken;7;NZZ_1998_04_22_a93_seg4_s3;6;Full|Psp;"Das Engagement in Russland wird sukzessive verstärkt ; mit einem russischen Partner wird unter der Lizenz von Pick Pay in Russland eine Supermarktkette etabliert .";prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVPP;ADJA;verschieben;12;NZZ_1998_08_04_a44_seg4_s9;9;Full|Psp;Der Kaltlufttropfen über der europäischen Westküste hat sich sukzessive nach Süden verschoben, und die kalte Masse ist auch gegen unser Land vorgedrungen und hat am Sonntag abend Niederschläge ausgelöst, besonders ausgeprägt mit 25 bis 30 Millimeter im oberen Tessin, aber auch mit 20 Millimeter in Teilen des Genferseegebiets .;prozess;frequenziellPROZ;done;;frei;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
