Interne-ID;Function-Head;Funktion-Hit;Head;ID-Head;ID-NZZ;ID-Token;Meta-Kopf;sentence;Oberkategorie;Unterkategorie;Status;Kommentar;externe Funktion;prozess;pFREQ;AuW;pure;agent;method;degree;proposition;KONJ;FRAME;SADV;extern;KAUS;TEMP;FREQ;BU;LOC;intern;INST;KOM;SH;iLOC
32;VVPP;ADJD;abschließen;36;NZZ_1994_09_30_a39_seg6_s3;35;Full|Psp;Allerdings sollte man diese Daten nicht überbewerten , da der Aufschwung noch sehr jung ist und die Vergleichsperiode , das erste Halbjahr 1993 , wegen der Staatsteilung und dem Einbruch im tschechisch-slowakischen Handel besonders schlecht abgeschlossen hat .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
127;VVFIN;ADJD;ankommen;43;NZZ_1998_07_24_a11_seg8_s9;42;Full|3|Sg|Pres|Ind;Das Wichtigste an der Abstimmung im Repräsentantenhaus dürfte indessen die Erkenntnis sein , dass Clinton mit seiner oft wenig konsequenten , vor allem den kurzfristigen Profit suchenden Marktwirtschaftsdiplomatie bei beiden Parteien , auch bei den Republikanern , im Grunde gar nicht schlecht ankommt .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
22;VVFIN;ADJD;anstehen;23;NZZ_1998_12_05_a151_seg3_s26;22;Full|-2;Basisinformationen dieser Art würden dem bewusst sehr privat gehaltenen , mit der assoziativen Kraft von Wort und Bild arbeitenden Porträt keineswegs schlecht anstehen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
42;VVPP;ADJD;anziehen;13;NZZ_1997_08_30_a149_seg4_s23;12;Full|Psp;Wie sollte man verstehen , dass die Mitglieder einer Popband derart schlecht angezogen sein können und trotzdem so viele Fans haben ?;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
53;VVPP;ADJD;arbeiten;14;NZZ_1998_11_24_a52_seg6_s9;13;Full|Psp;Und weiter ist hinter den Kulissen zu hören , die Revisionsstelle habe schlecht gearbeitet , ohne dass es dem Verwaltungsrat aufgefallen wäre .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
40;VVPP;ADJD;arretieren;36;NZZ_1999_10_19_a200_seg5_s12;35;Full|Psp;Gut dagegen sind die vielen Ablegemöglichkeiten für Kleinzeug und der dank asymmetrisch abklappbaren Rücksitzlehnen variabel nutzbare Gepäckraum , dessen Deckel - auch das ein wohl leicht behebbarer Mangel - im offenen Zustand leider nur schlecht arretiert werden kann .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
6;VVFIN;ADJD;aufnehmen;7;NZZ_1996_11_09_a38_seg10_s7;6;Full|3|Sg|Past|Ind;Da der Baugrund die Lasten schlecht aufnahm , führten Setzungen des Südturmes und der Aussenmauern zu neuen Kräfteverhältnissen , die das Zimmerwerk des Oktogons enorm belasteten .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
10;VVPP;ADJD;aufnehmen;8;NZZ_1999_06_05_a121_seg10_s7;7;Full|Psp;"Diese Nachricht wurde am Schweizer Aktienmarkt schlecht aufgenommen ; die Clariant-Valoren gerieten unter Druck und sanken im Lauf der Woche um über 3% .";prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
104;VVPP;ADJD;aufnehmen;18;NZZ_1995_08_04_a92_seg4_s1;17;Full|Psp;M. St. An den Ringen sind die jüngsten Ertragszahlen der Schweizerischen Bankgesellschaft ( SBG ) denkbar schlecht aufgenommen worden .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
155;VVPP;ADJD;aufnehmen;15;NZZ_1997_11_05_a175_seg3_s8;14;Full|Psp;In der Diskussion im Rat wurden sowohl die Initiative als auch der Gegenvorschlag schlecht aufgenommen .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
160;VVIZU;ADJD;aufpäppeln;20;NZZ_1994_09_24_a29_seg6_s5;4;Full|zu;Die Versprechungen passen schlecht zum oft bekundeten Widerwillen des Handels- und Industrieministers Manuel , Betriebe oder Industrien mit Subventionen aufzupäppeln .;prozess;rein;done;;frei;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
77;VVPP;ADJD;ausbilden;23;NZZ_1996_11_11_a101_seg5_s7;22;Full|Psp;Von der Sache her betrachtet , führt diese Vorlage indessen dazu , dass der ohnehin schlecht ausgebildete Zivilschutz in Zukunft noch schlechter ausgebildet sein wird , so dass man sich mit Fug und Recht fragen muss , weshalb überhaupt noch Zivilschutz ?;nd;nd;not of interest;ModPräd;;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
195;VVINF;ADJD;ausfallen;18;NZZ_1993_04_01_a149_seg2_s6;17;Full|-2;Und weil nicht zuletzt für Immobilien noch aussergewöhnliche Rückstellungen hinzukommen , wird auch das konsolidierte Gruppenergebnis schlecht ausfallen .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
99;VVPP;ADJD;ausfallen|ausgefallen;9;NZZ_1999_09_14_a104_seg2_s2;8;Full|Psp;Der Wochenauftakt am Schweizer Aktienmarkt ist denkbar schlecht ausgefallen .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
146;VVPP;ADJD;ausfallen|ausgefallen;15;NZZ_1997_03_07_a123_seg3_s8;14;Full|Psp;Der versicherungstechnische Verlust ist 1996 mit 711 ( 191 ) Mio. £ entsprechend schlecht ausgefallen .;prozess;rein;done;;notwendig;+;nd;+;+;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
