;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
619;NZZ_1993_04_01_a33_seg6_s8;Buckland hat dann auch in Prag als Korrepetitor , in Ústi nad Labem ( Aussig an der Elbe ) als Kapellmeister gearbeitet - bis man ihn wissen liess , dass er politisch unerwünscht sei und auf kein Engagement mehr hoffen könne .;ADJD;unerwünscht;33;Pos;ADJD;32
5712;NZZ_1993_04_02_a20_seg4_s4;So bemängeln Beobachter in Managua unter anderem die Straflosigkeit bei politisch motivierten Verbrechen und das Fehlen von Massnahmen zum Schutz der Menschenrechte , wie die versprochene Einsetzung eines unabhängigen Prokurators der Menschenrechte .;ADJD;motiviert;12;Pos|Dat|Pl|Neut;ADJA;11
5725;NZZ_1993_04_02_a20_seg6_s12;So registrierte die Überwachungskommission der Organisation amerikanischer Staaten ( OAS ) , die die Wiedereingliederung der 22 000 ehemaligen antisandinistischen Widerstandskämpfer ins Zivilleben leitet , seit dem Amtsantritt der Regierung Chamorro insgesamt 183 Morde an demobilisierten Contras , von denen knapp drei Viertel politisch begründet waren .;ADJD;begründen;45;Full|Psp;VVPP;44
5937;NZZ_1993_04_02_a31_seg2_s4;Sie riskiert , auf Jahre hinaus politisch irrelevant zu bleiben .;ADJD;irrelevant;8;Pos;ADJD;7
6240;NZZ_1993_04_02_a48_seg2_s2;Es ist inzwischen weltweit bekanntes Faktum , dass die Bundesrepublik Deutschland ob ihres Souveränitätsdefektes politisch jederzeit erpressbar geworden ist .;ADJD;erpressbar;17;Pos;ADJD;15
9437;NZZ_1993_04_02_a139_seg7_s1;René Schärer und die von ihm gegründete kleine Hilfsassoziation « Amigos do Prainha do Canto Verde » , der vor allem noch aktive Swissair-Mitarbeiter rund um den Erdball angehören , unterstützt die mittellosen Fischer dabei , Druck auf die politisch Verantwortlichen auszuüben .;ADJD;Verantwortliche;41;Reg|Acc|Pl|*4;NN;40
10008;NZZ_1993_04_02_a179_seg10_s4;Selbst wenn die Anwendung unterschiedlicher Gewichtungsansätze oftmals zu Resultaten gleicher Tendenz führt , ist ein politisch festgelegtes Gewichtungsschema für eine Umsetzung von PACT erforderlich .;ADJD;festgelegt;17;Pos|Nom|Sg|Neut;ADJA;16
10217;NZZ_1993_04_02_a188_seg4_s7;Während die IG Metall am Donnerstag von einem vollen Erfolg ihrer ersten Protestaktionen sprach , forderte die Bundesvereinigung der Deutschen Arbeitgeberverbände ( BDA ) die Gewerkschaft auf , ihre « politisch motivierte Blockade der Tarifpolitik » aufzugeben und an den Verhandlungstisch zurückzukehren .;ADJD;motiviert;32;Pos|Nom|Sg|Fem;ADJA;31
11512;NZZ_1993_04_03_a11_seg6_s8;Zudem profitieren sie politisch vom Verfall der russischen Wirtschaft und wünschen sich nur schon aus diesem Grund keinen weiteren Sukkurs .;ADJD;profitieren;2;Full|3|Pl|Pres|Ind;VVFIN;4
11572;NZZ_1993_04_03_a16_seg8_s2;Nach den unumgänglichen Bekenntnissen zu Einheit , Islam , Recht , Sicherheit , Fortschritt und Pluralismus prangern die Sozialisten indirekt grundlegende Missstände an , etwa mit der Ablehnung von jeglichem Separatismus religiöser , ethnischer oder regionaler Art , weiter jeder politisch motivierten Gewalt .;ADJD;motiviert;42;Pos|Gen|Sg|Fem;ADJA;41
