;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
581;NZZ_1993_04_01_a33_seg2_s14;Der Schluss der Oper ist auch ein bisschen anders als erwartet .;ADV;erwarten;11;Full|Psp;VVPP;9
723;NZZ_1993_04_01_a35_seg7_s1;Ganz anders ist Einar Schleefs autobiographisch geprägter Text « Heimkehr » , intimer und unheroisch .;ADV;sein;3;Sein|3|Sg|Pres|Ind;VAFIN;2
875;NZZ_1993_04_01_a45_seg2_s1;« So würde denn unsere Weltgeschichte nie etwas anders als ein Aggregat von Bruchstücken werden und nie den Namen einer Wissenschaft verdienen .;ADV;werden;15;Aux|3|Pl|Pres|Ind;VAFIN;9
2022;NZZ_1993_04_01_a82_seg2_s8;Das war diesmal nicht anders .;ADV;sein;2;Sein|3|Sg|Past|Ind;VAFIN;5
2296;NZZ_1993_04_01_a100_seg2_s5;Etwas anders , aber durchaus mit zufriedenem Grundton , interpretiert der Römer « Corriere dello Sport » den Match .;ADV;durchaus;5;--;ADV;2
3515;NZZ_1993_04_01_a135_seg1_s399;Ganz anders - und doch wie wir : Juden in der Schweiz .;ADV;sie;7;Pers|Subst|1|Nom|Pl|*6;PPER;2
5720;NZZ_1993_04_02_a20_seg6_s7;Die von General Humberto Ortega geführte Armee ist allerdings bisher - anders als die Polizeikräfte - weder einem Professionalisierungs- noch einem Entpolitisierungsprozess unterstellt worden und entzieht sich weiterhin jeglicher Kontrolle durch die zivile Staatsgewalt .;ADV;sein;8;Sein|3|Sg|Pres|Ind;VAFIN;12
7085;NZZ_1993_04_02_a83_seg2_s2;Ein vom Buwal veröffentlichter Grundlagenbericht zu diesem Problem wird - anders , als er vorgibt - von der Arbeitsgruppe « Kormoran und Fische » nicht getragen .;ADV;vorgeben;15;Full|3|Sg|Pres|Ind;VVFIN;11
7342;NZZ_1993_04_02_a90_seg23_s3;Ganz anders dagegen der Katalog : Er dokumentiert nicht nur alle Bauten und Projekte hervorragend , sondern bietet dem Architekturtouristen auch die nötigen Stadtpläne , damit er sich vor Ort eine Vorstellung dieser spannenden , provokativen und nicht immer widerspruchsfreien Architektur machen kann .;ADV;Katalog;5;Reg|Nom|Sg|Masc;NN;2
8068;NZZ_1993_04_02_a105_seg5_s7;So mag unmittelbar einsehbar sein , dass ein Fernsehbeitrag zu ähnlicher Thematik , rasant/fetzig dargeboten , mit vielen Bild-Wort-Wechseln , unvorhersehbaren Schnitten , Schwenks und Zooms und unterlegt mit lauter Musik , anders wirkt als eine ( eher ) ruhige Darbietung ohne plötzliche Situations- , Standort- und Szenenwechsel und ohne reisserische akustische Effekte .;ADV;dargeboten;15;Pos;VVPP;33
8070;NZZ_1993_04_02_a105_seg5_s9;Die andere ist : Ein Sechsjähriger erlebt denselben Medienbeitrag anders als ein Zwölfjähriger , ein emotional stabiler Rezipient anders als ein emotional instabiler Zuschauer und Zuhörer , ein Vielseher anders als ein Wenigseher und ... und ... und .;ADV;--;33;Reg|Nom|Sg|Masc;NN;30
8115;NZZ_1993_04_02_a105_seg15_s3;Oder anders gesagt : Es geht um die Frage , wann , wo und wie sich fernseherzeugte Erregungs- und Aggressionspotentiale verbinden mit alltäglichen lebensrealen Hocherregungen - bis hin zu Gewalthandlungen , zum Draufschlagen .;ADV;sagen;3;Full|Psp;VVPP;2
9676;NZZ_1993_04_02_a157_seg9_s1;Die Entwicklung hätte auch anders verlaufen können .;ADV;verlaufen;6;Full|-2;VVINF;5
11112;NZZ_1993_04_02_a214_seg2_s12;Ganz anders Ambrosetti .;ADV;--;3;Name|Nom|Sg|*4;NE;2
12042;NZZ_1993_04_03_a35_seg8_s2;Doch anders als jene Aussenseiter habe er durch seine Popularität und die regelmässigen Fernsehsendungen einen enormen Einfluss auf den durchschnittlichen ägyptischen Muslim .;ADV;haben;6;Haben|3|Sg|Pres|Subj;VAFIN;2
13013;NZZ_1993_04_03_a65_seg1_s9;Entsprechende Kenntnisse , die anders nicht gewonnen werden konnten , hätten uns in einer möglichen militärischen Auseinandersetzung in Europa nützlich sein können .;ADV;können;9;Mod|3|Pl|Past|Ind;VMFIN;5
