;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
4293;NZZ_1993_04_01_a167_seg3_s4;Die Situation des Konzerns vergleicht sich wohl etwa mit jener eines mit starken Medikamenten aufgepäppelten Rekonvaleszenten , der ununterbrochen eisigem Durchzug ausgesetzt ist .;ADJD;eisig;20;Pos|Dat|Sg|Masc;ADJA;19
19601;NZZ_1993_04_05_a64_seg7_s2;Nebst den prioritären Sparbemühungen ist die schwierige Suche nach neuen Einnahmemöglichkeiten ununterbrochen im Gang .;ADJD;sein;5;Sein|3|Sg|Pres|Ind;VAFIN;12
29005;NZZ_1993_04_07_a20_seg4_s5;Erst dann werde die türkische Regierung den Ausnahmezustand - faktisch eine leicht abgeschwächte Form des Kriegsrechts und im hauptsächlich von Kurden bewohnten Südosten seit 1978 ununterbrochen in Kraft - aufheben .;ADJD;in;27;In;APPR;26
33790;NZZ_1993_04_08_a27_seg6_s1;Die Priester des Todaiji beteuern , dass das letztgenannte Fest seit dem Jahre 752 ununterbrochen gefeiert wird .;ADJD;feiern;16;Full|Psp;VVPP;15
36215;NZZ_1993_04_08_a105_seg3_s9;Ende letzten Jahres reichte Couples ' Frau Deborah die Scheidung ein , seitdem sieht sich der Amerikaner ununterbrochen Fragen nach seinem Privatleben ausgesetzt .;ADJD;sehen;14;Full|3|Sg|Pres|Ind;VVFIN;18
48589;NZZ_1993_04_10_a214_seg47_s3;Die Niederschläge setzten in der Nacht zum Dienstag ein und hielten in den Niederungen der Alpennordseite mit eingeschobenen , vor allem am Mittwoch stärkeren Aufhellungen , in den Alpen dagegen fast ununterbrochen bis Donnerstag vormittag an .;ADJD;vormittag;35;--;ADV;32
56391;NZZ_1993_04_14_a36_seg6_s7;Die Produktion begann Ende 1981 und wurde seither ununterbrochen gewinnbringend weitergeführt , trotz stetig fallenden Uranpreisen .;ADJD;gewinnbringend;10;Pos;ADJD;9
59918;NZZ_1993_04_14_a162_seg6_s12;Gefördert werde die Isolierung nicht zuletzt dadurch , dass ununterbrochen die Bedrohung von aussen beschworen und angeprangert werde , meint Stamm .;ADJD;und;16;Coord|-2;KON;10
65790;NZZ_1993_04_16_a39_seg2_s2;Eine bereits 1977 aus der Taufe gehobene Sinfonie eines in Fachkreisen zwar anerkannten , jedoch selten aufgeführten und selbst den Freunden ernster Musik bis vor kurzem kaum bekannten polnischen Zeitgenossen führt seitdem mehr oder weniger ununterbrochen alle britischen Klassik-Hitparaden und längst auch die amerikanischen Bill-Board Charts an .;ADJD;und;40;Coord|-2;KON;36
77604;NZZ_1993_04_19_a44_seg3_s6;Eine Probenzeit , die sie über viele Wochen hin für die Inszenierung eines Werkes lückenlos und ununterbrochen zusammenführt und bindet , ist allenthalben kaum noch disponibel . »;ADJD;und;16;Coord|-2;KON;17
121916;NZZ_1993_04_27_a153_seg30_s6;"Der warme Südsturm setzte in den Alpentälern am Freitag nachmittag ein und dauerte ununterbrochen bis zum Montag an , wobei zeitweise Windgeschwindigkeiten bis zu 100 km/h auftraten ; auf dem Gotthard wurden sogar 170 km/h gemessen .";ADJD;dauern;13;Full|3|Sg|Past|Ind;VVFIN;14
141765;NZZ_1993_08_02_a114_seg1_s30;"Weit über hundert Filme werden hier Jahr für Jahr gedreht : zum Teil unter geradezu abenteuerlichen Produktionsbedingungen ; ununterbrochen , Tag und Nacht , in mehreren Schichten , an verschiedenen Sets gleichzeitig .";ADJD;No Head;20;No Head;No Head;19
159080;NZZ_1993_08_06_a81_seg7_s5;Mai strahlte die Anstalt ununterbrochen Unterhaltungs- und Musiksendungen , Animationsfilme , Sportreportagen aus .;ADJD;strahlen;2;Full|3|Sg|Past|Ind;VVFIN;5
