;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
444;NZZ_1993_04_01_a26_seg10_s14;Der Löwenanteil an gewinnbringend angelegten Geldern , das gibt auch Lei Yu unumwunden zu , stammt jedoch wie in den anderen wirtschaftlich blühenden Küstenregionen Chinas von chinesischen Firmen aus dem Binnenland , die von den hier grosszügig gewährten Steuerabschlägen profitieren wollen .;ADJD;gewährt;38;Pos|Dat|Pl|Masc;ADJA;37
3011;NZZ_1993_04_01_a132_seg2_s6;Die komfortablen Zimmer mit Balkon sind grosszügig eingerichtet mit Parkettböden aus Eukalyptusholz , geschnitzten Kassettentüren , Marmorbad und modernen Bildern .;ADJD;einrichten;8;Full|Psp;VVPP;7
6121;NZZ_1993_04_02_a39_seg2_s3;Dass wir bei unserer eigenen Entwicklung ökologisch auch nicht gerade zimperlich waren und auf welch schwindelerregend hohem Ressourcenniveau wir uns nach wie vor bewegen , wird immer wieder grosszügig übersehen .;ADJD;übersehen;30;Full|Psp;VVPP;29
11148;NZZ_1993_04_02_a216_seg3_s5;Eine grosszügig dimensionierte , helle Redaktion mit rotem Plattenboden , moderne Studios in elegantem Design , hier und dort eine Palme : Radio 24 ist auf ein gestyltes Flaggschiff umgestiegen .;ADJD;dimensioniert;3;Pos|Nom|Sg|Fem;ADJA;2
12140;NZZ_1993_04_03_a40_seg2_s24;Wo Federspiel bei den kuriosen Alltagsposten bleibt und nicht im Jenseits Schützenhilfe sucht , zeigt sich allemal , dass sein Horizont , durch das Pendeln zwischen Zürich und New York ohnehin grosszügig genug , keiner postletalen Erweiterung bedarf .;ADJD;Horizont;21;Reg|Nom|Sg|Masc;NN;32
34307;NZZ_1993_04_08_a49_seg3_s5;Treffend hat der russische Dichter Valery Prussov die armenische Musik charakterisiert als poetisch , grosszügig und ornamentiert wie der Orient und kontrolliert wie der Okzident , Trauer ausdrückend , ohne in Verzweiflung zu stürzen , und Auflehnung verkörpernd , ohne rücksichtslos zu sein .;ADJD;und;16;Coord|-2;KON;15
55631;NZZ_1993_04_14_a1_seg8_s9;Man glaubt hier zu wissen , dass Milosevic die linkskonservativen und nationalpatriotischen Gegner des russischen Präsidenten grosszügig unterstützt , und weist auf eine nicht abreissende Kette von Besuchen russischer Delegationen aus jenem Lager in Belgrad hin .;ADJD;unterstützen;18;Full|Psp;VVPP;17
61087;NZZ_1993_04_15_a60_seg3_s4;Von Interesse ist diese Inbal-Interpretation jedoch , weil sich anhand des grosszügig aufgefächerten Index-Angebots viele neuralgische Stellen des Werkes bequem ansteuern und dadurch auch besser verstehen lassen .;ADJD;aufgefächert;13;Pos|Gen|Sg|Neut;ADJA;12
69028;NZZ_1993_04_16_a158_seg1_s2;"Die Finanzhilfe an Russland von rund 18 Mrd. $ nimmt sich grosszügig aus ; bei näherem Hinsehen sind es an wirklich neuen Mitteln aber nur 3 Mrd. $ .";ADJD;nehmen;10;Full|3|Sg|Pres|Ind;VVFIN;12
97520;NZZ_1993_04_23_a53_seg2_s4;Auch übergeht man grosszügig die Tatsache , dass sich der Süden mit der Reformation effektiv vom katholisch gebliebenen Norden gelöst hatte .;ADJD;übergehen;2;Full|3|Sg|Pres|Ind;VVFIN;4
