;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
11692;NZZ_1993_04_03_a21_seg7_s2;Er gilt bei den Gaullisten als nonkonforme , aber auch etwas archaische Figur , die wie sein sozialistisches Pendent Chevènement unablässig die Tugenden der französischen Nation und Republik hochhält .;ADJD;hochhalten;29;Full|3|Sg|Pres|Ind;VVFIN;21
18465;NZZ_1993_04_05_a4_seg5_s5;Unter dem Schutz von Schnellbooten , eines unablässig kreisenden Helikopters und eines Patrouillenboots der Küstenwache verliess darauf der Konvoi den Inselhafen San Lorenzo in Richtung des Marinestützpunktes El Callao , der künftigen definitiven Bleibe des Terroristenführers und seiner wichtigsten Kumpane .;ADJD;kreisend;9;Pos|Gen|Sg|Masc;ADJA;8
33246;NZZ_1993_04_07_a190_seg2_s1;kl. Trotz offensichtlich beträchtlichen Zuschüssen von fünf potenten Sponsoren , deren Namen unablässig erwähnt und gezeigt wurden , musste man sogar für einen Stehplatz im hinteren Teil von Ueli Steinles gestilter « Magic Factory » noch 65 Franken hinblättern - Sitzplätze am Bühnenrand gab es für 110 Franken .;ADJD;erwähnen;14;Full|Psp;VVPP;13
47441;NZZ_1993_04_10_a166_seg2_s58;Er will - so lautet die offizielle Version - Landwirtschaft betreiben , das heisst , er will in einem steinübersäten Gebiet , auf das jährlich kaum fünf Zentimeter Regen fallen und wo ein starker Nordostpassat unablässig die Erde austrocknet , Plantagen anlegen .;ADJD;austrocknen;39;Full|3|Sg|Pres|Ind;VVFIN;36
49484;NZZ_1993_04_13_a11_seg8_s5;Premierminister Reynolds wiederholt unablässig , dass die irische Verfassung erst im Kontext einer umfassenden Verhandlungslösung geändert werden könne - ein klarer Hinweis darauf , dass diese Lösung Elemente einer irischen Wiedervereinigung enthalten muss .;ADJD;können;18;Mod|3|Sg|Pres|Subj;VMFIN;4
64725;NZZ_1993_04_15_a175_seg2_s1;( sda ) Im Kanton Zürich steigt die Arbeitslosigkeit seit Herbst 1990 unablässig weiter .;ADJD;steigen;7;Full|3|Sg|Pres|Ind;VVFIN;13
71789;NZZ_1993_04_17_a72_seg5_s2;An keiner Stelle werden die damals unablässig zitierten Namen Lenins oder Stalins , Kirows oder Jagodas genannt , und gesellschaftliche , wirtschaftliche , politische Fakten allgemein , die Schrecknisse des real existierenden Sozialismus im besondern bleiben konsequent ausgeblendet - von Säuberungen und Schauprozessen ist bei Charms ebensowenig die Rede wie von Zwangskollektivierung und Kulturvernichtung .;ADJD;zitiert;8;Pos|Nom|Pl|Masc;ADJA;7
91496;NZZ_1993_04_22_a42_seg7_s4;Die Gleichzeitigkeit der zerreissenden Widersprüche auszuhalten in jedem Augenblick , sie unablässig im Gedicht zur Sprache zu bringen und dadurch ihre Existenz und Notwendigkeit zu beweisen - dazu freilich bedarf es jener Besessenheit , die dem lyrischen Ich die Kraft eines Baumes gibt , den man sich anders als königlich nicht vorstellen kann .;ADJD;bringen;18;Full|-2;VVINF;12
91513;NZZ_1993_04_22_a42_seg9_s5;So möchte man die Gedichte des neuen Bandes gerne als Elegien bezeichnen , in denen , unablässig , herb und schmerzlich , die uralte Klage geführt wird darüber ( oder dagegen ? );ADJD;und;20;Coord|-2;KON;17
93440;NZZ_1993_04_22_a91_seg10_s6;"Bei solchen mechanischen Werken geht die Entwicklung unablässig weiter ; dies bezeugt insbesondere das neue Kaliber Piguet 11.50 , das für ultraflache Uhren geeignet ist .";ADJD;gehen;5;Full|3|Sg|Pres|Ind;VVFIN;8
103597;NZZ_1993_04_24_a39_seg2_s11;Anderseits war - und ist - Kurt von Fischer durch eine unbezähmbare Neugier charakterisiert , die unablässig Fragen formuliert , nachbohrt und die niemals sich mit einem erreichten Wissen selbstgefällig zufriedengibt .;ADJD;formulieren;19;Full|3|Sg|Pres|Ind;VVPP;17
105104;NZZ_1993_04_24_a71_seg6_s21;In « The Draughtsman ' s Contract » nutzt Greenaway diese filmspezifischen Möglichkeiten nur bedingt und betont statt dessen unablässig die Begrenzungen der Filmleinwand , indem er die einzelnen Einstellungen zur längeren Betrachtung freigibt und seine Protagonisten das Filmbild « betreten » und wieder verlassen lässt , wie auf einer Guckkastenbühne .;ADJD;Begrenzung;22;Reg|Acc|Pl|Fem;NN;20
123406;NZZ_1993_04_28_a56_seg2_s7;Bereits im « Glasberg » reflektiert Lorenz Waser immer wieder über das , was er tut und sagt , beobachtet sich selber ironisch und wird zudem vom sich einmischenden Ich-Erzähler unablässig kritisch kommentiert .;ADJD;kritisch;32;Pos;ADJD;31
163457;NZZ_1993_08_07_a70_seg5_s6;Früh schon findet sich eine Szene , in welcher dieses Ich unablässig einen Teig knetet :;ADJD;kneten;15;Full|3|Sg|Pres|Ind;VVFIN;12
184706;NZZ_1993_08_13_a38_seg3_s11;"Als der alte Mann stirbt , beten sie den Rosenkranz - das rituelle Beten im Kreis wie die Kreisform im allgemeinen tauchen als Symbole immer wieder auf : in unablässiger Abfolge dreht sich das Rad der Jahreszeiten , im gleichlaufenden Zyklus repetieren sich die monotonen Arbeiten auf der Farm ; Iren und Irinnen emigrieren aus ihrer Heimat und kehren doch immer wieder zurück , alte Leute sterben , und Kinder werden geboren ; die Kreise schliessen sich unablässig , und auch die irische Geschichte scheint sich im Kreis zu drehen .";ADJD;schließen;76;Full|3|Pl|Pres|Ind;VVFIN;78
199112;NZZ_1993_08_17_a131_seg6_s5;Seit fünf Jahren fällt das reale Pro-Kopf-Einkommen unablässig , in den letzten zehn Jahren um knapp einen Drittel .;ADJD;fallen|fällen;4;Full|3|Sg|Pres|Ind;VVFIN;8
229053;NZZ_1993_08_27_a3_seg12_s13;"Tagsüber herrscht grosse Hitze von mehr als 35 Grad ; leichter Wind bringt mit etwas Abkühlung unablässig viel Staub .";ADJD;bringen;13;Full|3|Sg|Pres|Ind;VVFIN;17
236251;NZZ_1993_08_28_a135_seg2_s18;Und als er gegen Ende der Geschichte die Stadt wieder verlässt , zwar ohne Pariser , dafür aber mit einem Fernseher , zeigt die Kamera hinter einem kleinen Hügel , mitten in der Steppe , ein gewaltiges Fabrikkamin , das hoch in den Himmel ragt und unablässig dichte , schwarze Rauchschwaden in die fast unberührte Landschaft hinausqualmt .;ADJD;dicht;48;Pos|Acc|Pl|Masc;VVFIN;47
241952;NZZ_1993_08_30_a176_seg2_s6;Von 13 farbenfroh geschmückten Wagen hämmerte unablässig die neuste Techno-Musik auf die Tanzenden herab .;ADJD;hämmern;6;Full|3|Sg|Past|Subj;VVFIN;7
254099;NZZ_1993_12_02_a7_seg6_s8;Blutige IRA-Anschläge wie in Warrington oder massiver Sachschaden wie in der Londoner City vermochten die Gesprächsbereitschaft nicht zu dämpfen , obwohl die britische Seite unablässig darauf hinweist , dass das Blutvergiessen der Suche nach einer Einigung hinderlich ist .;ADJD;darauf;26;Dem;PROAV;25
