;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
2951;NZZ_1993_04_01_a130_seg5_s22;Seit 1950 werden sie sukzessive restauriert .;ADJA;restaurieren;6;Full|Psp;VVPP;5
10183;NZZ_1993_04_02_a187_seg10_s8;Der in der Konzernleitung dafür zuständige René M. Lüthy meinte , nach den Mitte März durchgeführten Abnahmeversuchen könne in den nächsten sechs Monaten die Organisation eingespielt und die Anlage sukzessive hochgefahren werden .;ADJA;hochfahren;31;Full|Psp;VVPP;30
25874;NZZ_1993_04_06_a84_seg3_s15;Dieser Stürmer , der auch schon in den Niederlanden gespielt hatte , muss zusammen mit dem Angreifer Toni Hand von der schottischen Mannschaft « Murray Field Racers » als herausragende Figur eines britischen Ensembles bezeichnet werden , das sich im Verlauf des Anlasses sukzessive steigerte und in der Schlusspartie schliesslich China 14 : 0 deklassierte .;ADJA;steigern;45;Full|3|Sg|Past|Ind;VVFIN;44
28515;NZZ_1993_04_06_a175_seg3_s8;Die elf Sängerinnen und Sänger , allesamt technisch hervorragende Interpreten , waren zunächst frei im Kirchenraum aufgestellt und veränderten dann sukzessive ihre Positionen , so dass faszinierende , schweifende Raumklänge zustande kamen .;ADJA;Position;23;Reg|Acc|Pl|Fem;NN;21
32954;NZZ_1993_04_07_a181_seg36_s8;Darauf verschob sich aber die Antizyklone nach Süden und überdeckte nun ganz Mittel- und Osteuropa , was bei ungewöhnlich sonnigem Wetter mit sukzessivem Temperaturanstieg bis zu einem Maximum von 15 Grad führte , verbunden aber mit immer noch kalten Nächten und sukzessive zunehmend warmen Tagen .;ADJA;Tag;45;Reg|Dat|Pl|Masc;NN;42
55850;NZZ_1993_04_14_a14_seg2_s1;Die Ankündigung von vorzeitigen Neuwahlen in Spanien ist ein Versuch von Regierungschef Felipe González , die Regie auf der politischen Bühne wieder an sich zu reissen , die ihm in den letzten zwei Jahren sukzessive entglitten ist .;ADJA;entgleiten;36;Full|Psp;VVPP;35
64169;NZZ_1993_04_15_a153_seg8_s2;Zeitgleich mit dem dramatischen Einbruch im Ost-Ost-Handel haben die Reformstaaten auch eine sukzessive Verschlechterung der Handelsbilanz gegenüber der EG zu verkraften .;ADJA;Verschlechterung;14;Reg|Acc|Sg|Fem;NN;13
76163;NZZ_1993_04_17_a178_seg31_s13;Der nächste atlantische Wirbel wird sich über der Biskaya nach Süden ausweiten , so dass ab Montag , vor allem aber am Dienstag und Mittwoch in den Alpen eine Föhnströmung entstehen dürfte , die der Zentral- und Ostschweiz teilweise sonniges und warmes Frühlingswetter mit Temperaturen um 20 Grad bringen wird , während im Westen und Süden sukzessive Wetterverschlechterung eintritt , welche sich in der zweiten Wochenhälfte auch auf die übrige Schweiz ausdehnen wird .;ADJA;Wetterverschlechterung;58;Reg|Acc|Sg|Fem;NN;57
85037;NZZ_1993_04_20_a137_seg4_s13;"Das Kursniveau verbesserte sich im Laufe des Vormittags sukzessive im Gleichschritt zur wachsenden Gewissheit über den Abstimmungsausgang ; der offizielle Index schloss 38% höher .";ADJA;verbessern;3;Full|3|Sg|Past|Ind;VVFIN;9
85302;NZZ_1993_04_20_a146_seg32_s7;"Die im Nordosten am Montag nachmittag noch vorhandene , wechselnde , zeitweise starke Bewölkung löste sich sukzessive auf , und das Thermometer stieg auf 17 ; am Dienstag dürften es 20 Grad werden , während die Null-Grad-Grenze gegen 3000 Meter steigt .";ADJA;auf;18;Verb;PTKVZ;17
88300;NZZ_1993_04_21_a105_seg3_s8;Nach spielerisch gefälligen ersten zehn Minuten , während deren die Schweizer die Scheibe kontrollierten und regelmässig direkt und unmittelbar vor Torhüter Delfino auftauchten , verloren sie sukzessive an Schwung , Kampfbereitschaft und Selbstvertrauen .;ADJA;.;34;Pun|Sent;$.;27
102469;NZZ_1993_04_23_a241_seg2_s15;Ungeachtet der Schwierigkeiten bei der Wohnraumbeschaffung hält die SIP an der ursprünglichen Zielsetzung fest , gemäss der bis Ende 1994 sukzessive 60 Plätze in betreuten und begleiteten Wohneinrichtungen geschaffen werden sollen .;ADJA;Platz;23;Reg|Acc|Pl|Masc;NN;21
102728;NZZ_1993_04_23_a256_seg7_s7;Der um 12 Uhr 45 festgestellte Schaden führte zu einem Unterbruch bis 15 Uhr 15 , bevor die Anschlüsse wieder sukzessive installiert werden konnten .;ADJA;installieren;22;Full|Psp;VVPP;21
103934;NZZ_1993_04_24_a48_seg3_s13;"Vieles geht in der Aufführung verloren , daran ist kein Zweifel ; anderes wie das sukzessive Zerreissen verschiedener Papiere und Stoffe wirkt frappant , weist aber bloss auf die Oberfläche .";ADJA;Zerreissen;17;Reg|Nom|Sg|Neut;NN;16
108610;NZZ_1993_04_24_a136_seg2_s48;Sein Arbeitsgebiet hat sich in den letzten Jahrzehnten sukzessive von der engeren Versicherungsmathematik zur Finanzmathematik verschoben .;ADJA;von;10;Dat;APPR;9
