;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
1023;NZZ_1993_04_01_a49_seg6_s10;Das Klima beim Verkaufspersonal ist schon heute schlecht .;ADJD;sein;5;Sein|3|Sg|Pres|Ind;VAFIN;8
2286;NZZ_1993_04_01_a99_seg1_s1;Hlasek weiterhin schlecht in Form .;ADJD;No Head;1;No Head;No Head;3
3878;NZZ_1993_04_01_a142_seg7_s1;Die Russen bauen gute Verkehrsflugzeuge , doch kommen sie beim Vergleich mit westlichen Erzeugnissen schlecht weg .;ADJD;kommen;8;Full|3|Pl|Pres|Ind;VVFIN;15
3981;NZZ_1993_04_01_a149_seg2_s6;Und weil nicht zuletzt für Immobilien noch aussergewöhnliche Rückstellungen hinzukommen , wird auch das konsolidierte Gruppenergebnis schlecht ausfallen .;ADJD;ausfallen;18;Full|-2;VVINF;17
5422;NZZ_1993_04_02_a2_seg8_s4;Die heimlichen Anwärter , die natürlich jedermann zu kennen glaubt , halten sich an die Devise , dass auf einer Foto schlecht herauskommt , wer sich bewegt , und bestreiten in der Oeffentlichkeit ihre Ambitionen .;ADJD;herauskommen;23;Full|3|Sg|Pres|Ind;VVFIN;22
8376;NZZ_1993_04_02_a119_seg2_s16;Fast immer sei die Equipe ohne Ball gut und mit dem Ball schlecht gewesen .;ADJD;sein;14;Sein|Psp;VAPP;13
9403;NZZ_1993_04_02_a137_seg1_s3;Das gemeinsame Kantonslaboratorium von Uri , Schwyz , Ob- und Nidwalden in Brunnen hat bei einer Überprüfung von 362 Kühlanlagen festgestellt , dass « etliche » Geräte schlecht eingestellt oder reparaturbedürftig gewesen seien , wie an einer Pressekonferenz bekanntgegeben wurde .;ADJD;einstellen;29;Full|Psp;VVPP;28
11267;NZZ_1993_04_02_a224_seg2_s4;Die Fälschungen waren aber so schlecht , dass der Betrug sofort aufflog .;ADJD;sein;3;Sein|3|Pl|Past|Ind;VAFIN;6
11275;NZZ_1993_04_02_a224_seg2_s12;Die 100-Dollar-Scheine waren aber so schlecht , dass der Schalterbeamte in der Volksbank-Filiale in Zürich die Fälschungen sofort erkannte .;ADJD;sein;3;Sein|3|Pl|Past|Ind;VAFIN;6
11769;NZZ_1993_04_03_a23_seg8_s4;Die heimlichen Anwärter , die natürlich jedermann zu kennen glaubt , halten sich an die Devise , dass auf einer Photo schlecht herauskommt , wer sich bewegt , und bestreiten in der Öffentlichkeit ihre Ambitionen .;ADJD;herauskommen;23;Full|3|Sg|Pres|Ind;VVFIN;22
16883;NZZ_1993_04_03_a138_seg2_s2;Mag dem Bias dieses Leitwort griechischer « Autarkie » , geistiger « Selbstgenügsamkeit » oder Unabhängigkeit , auch nur zugeflogen sein - von der stolzen Unabhängigkeit des Weisen zeugt auch der Ausspruch , den die Überlieferung diesem Bias sozusagen als sein Kennwort zugeordnet hat : « Die meisten Menschen sind schlecht . »;ADJD;sein;50;Sein|3|Pl|Pres|Ind;VAFIN;51
16885;NZZ_1993_04_03_a138_seg2_s4;Und darauf folgt : « Denn die meisten Menschen seien schlecht . »;ADJD;sein;10;Sein|3|Pl|Pres|Subj;VAFIN;11
16969;NZZ_1993_04_03_a143_seg4_s5;Noch scheint es aber etwas zu früh zu sein , um bereits von einer Wiederbelebung des japanischen Automarktes zu sprechen : Zum einen war das Vorjahresresultat wegen einer bevorstehenden Steuerermässigung verhältnismässig schlecht ausgefallen , zum andern wies der März 1993 gegenüber dem Vorjahr einen zusätzlichen Handelstag auf .;ADJD;ausfallen|ausgefallen;33;Full|Psp;VVPP;32
17599;NZZ_1993_04_03_a171_seg2_s5;Vor diesem Hintergrund kam naturgemäss der eben geschlossene Solidarpakt besonders schlecht weg .;ADJD;kommen;4;Full|3|Sg|Past|Ind;VVFIN;11
18591;NZZ_1993_04_05_a10_seg5_s6;Da diese Arbeit indessen von undisziplinierten und nur schlecht ausgebildeten Soldaten verrichtet wird , empfiehlt es sich als zusätzliche Vorsichtsmassnahme , am Morgen nicht als erster loszufahren .;ADJD;ausgebildet;10;Pos|Acc|Pl|Masc;ADJA;9
18638;NZZ_1993_04_05_a10_seg11_s8;"Gewalt an vietnamesischen Mitbürgern scheint aus wirtschaftlichen Gründen offenbar weitherum auf Zustimmung zu stossen ; vielen Kambodschanern geht es materiell derart schlecht , dass sie Leuten bereitwillig Glauben schenken , die ihnen erklären , dies sei die Schuld der Vietnamesen .";ADJD;gehen;18;Full|3|Sg|Pres|Ind;VVFIN;22
19263;NZZ_1993_04_05_a43_seg2_s2;Der Befund ist nicht neu , doch hat er sich in letzter Zeit durch eine Serie schwerer Unfälle nachhaltig in Erinnerung gerufen : Der Helikopter schneidet in der Gesamtstatistik der Unfälle mit Luftfahrzeugen in der Schweiz ausgesprochen schlecht ab .;ADJD;schneiden;26;Full|3|Sg|Pres|Ind;VVFIN;38
20203;NZZ_1993_04_05_a74_seg2_s10;Wie schlecht es um die einstige Paradesportart Belgiens steht , macht auch der Rennkalender deutlich .;ADJD;stehen;9;Full|3|Sg|Pres|Ind;VVFIN;2
21030;NZZ_1993_04_05_a110_seg3_s9;Im Sultanat Malaysia , auf der winkligen und rund 20 km vor den Toren Kuala Lumpurs liegenden Rennstrecke , zeigte Rainey aber , dass die Maschine so schlecht nicht sein kann .;ADJD;können;31;Mod|3|Sg|Pres|Ind;VMFIN;28
24410;NZZ_1993_04_06_a24_seg2_s30;Die Luft in den Städten ist weniger schlecht als noch vor ein paar Jahren , wenngleich die Bestätigung dafür der Mehrzahl der « Experten » , die von der Katastrophen-Beschwörung inzwischen leidlich gut leben , nur schwer über die Lippen kommt .;ADJD;sein;6;Sein|3|Sg|Pres|Ind;VAFIN;8
24452;NZZ_1993_04_06_a27_seg2_s4;Waren es die schlecht fundierten Argumente ?;ADJD;fundiert;5;Pos|Nom|Pl|Neut;ADJA;4
24929;NZZ_1993_04_06_a59_seg4_s1;Grundsätzlich bezeichnet Haenni das Klima vor allem im Berner Jura als schlecht , von Wut , nicht aber von Gewalt geprägt .;ADJD;bezeichnen;2;Full|3|Sg|Pres|Ind;VVFIN;12
27345;NZZ_1993_04_06_a132_seg5_s8;Geographisch gesehen haben die Genossenschaften Genf ( auf Grund des Grenzpreisgefälles und der hohen Arbeitslosigkeit ) , Wallis ( wo der Direktionswechsel nun vollzogen ist ) und Zürich ( wo eine Ad-interim-Teilzeitgeschäftsleitung mit einem Beirat Remedur schaffen soll ) schlecht gearbeitet .;ADJD;arbeiten;41;Full|Psp;VVPP;40
30890;NZZ_1993_04_07_a101_seg7_s2;Wie gut oder schlecht jemand puttet , entscheidet die Tagesform .;ADJD;oder;3;Coord|-2;KON;4
32654;NZZ_1993_04_07_a168_seg3_s8;Angesichts dieser Lage sind auch die Aussichten für den Arbeitsmarkt schlecht .;ADJD;sein;4;Sein|3|Pl|Pres|Ind;VAFIN;11
33471;NZZ_1993_04_08_a2_seg8_s5;Nato-Generalsekretär Wörner erklärte , dass es ohne die deutschen Fliegerleit- und -Radaroffiziere « eher schlecht als recht » gehen würde und die Allianz über ein solches Abseitsstehen enttäuscht wäre .;ADJD;gehen;19;Full|-2;VVINF;15
34450;NZZ_1993_04_08_a56_seg9_s6;Krebs haben wir heute so recht und schlecht im Griff , und dann taucht Aids auf .;ADJD;und;7;Coord|-2;KON;8
34558;NZZ_1993_04_08_a59_seg3_s10;Die Arbeitsbedingungen des Verkaufspersonals sind nicht generell schlecht .;ADJD;sein;5;Sein|3|Pl|Pres|Ind;VAFIN;8
34603;NZZ_1993_04_08_a60_seg3_s19;findet die gewählte Lösung ganz schlecht , weil sie nicht erlaubt , auf die Bedürfnisse der kleinen Betriebe und der Arbeitnehmer einzugehen .;ADJD;No Head;1;No Head;No Head;6
34947;NZZ_1993_04_08_a76_seg3_s17;In beiden Lagern haben schlecht verheilte Wunden , schmerzhafte und zuweilen gewalttätige Auseinandersetzungen , verletzende und auch beleidigende Äusserungen Spuren hinterlassen , welche nur mit Freimut und Bescheidenheit geglättet werden können .;ADJD;hinterlassen;21;Full|Psp;VVFIN;5
36477;NZZ_1993_04_08_a122_seg2_s5;Gemäss den Angaben des Ausschusses unter der Leitung von Eugen Mätzler stehen die Chancen , den Verein zu sanieren , nicht schlecht .;ADJD;stehen;12;Full|3|Pl|Pres|Ind;VVFIN;22
38350;NZZ_1993_04_08_a146_seg7_s7;Dieser hatte sich vor Wochen im Gespräch mit einer Zeitung unter einem Pseudonym darüber beklagt , der Stiefvater habe ihn früher oft geschlagen und das Verhältnis zwischen den beiden sei denkbar schlecht .;ADJD;sein;30;Sein|3|Sg|Pres|Subj;VAFIN;32
38473;NZZ_1993_04_08_a155_seg2_s13;Zum laufenden Jahr hiess es , sollte sich das Geschäft so schlecht darstellen wie Ende 1992/Anfang 1993 , dann lasse sich ein höherer operativer Verlust als im Vorjahr nicht vermeiden .;ADJD;darstellen;13;Full|-2;VVFIN;12
43047;NZZ_1993_04_10_a91_seg7_s15;Diese Visionen landeten auf dem Boden der Realität , sobald sie von den allgemein schlecht ausgebildeten und auf einem äusserst tiefen technischen Niveau arbeitenden lokalen Handwerkern in die architektonische Tat umgesetzt wurden .;ADJD;ausgebildet;16;Pos|Dat|Pl|Fem;ADJA;15
47571;NZZ_1993_04_10_a166_seg2_s188;Auch wenn sich die Einheimischen nur schlecht an Jahreszahlen erinnern können , haben sie eine sehr genaue Vorstellung davon , was Krieg ist .;ADJD;erinnern;10;Full|-2;VVINF;7
48832;NZZ_1993_04_10_a216_seg11_s14;Es ging mir sehr schlecht , darum ging ich zum Arzt . »;ADJD;gehen;2;Full|3|Sg|Past|Ind;VVFIN;5
48865;NZZ_1993_04_10_a216_seg13_s23;Wir kannten niemand , uns ging es schlecht .;ADJD;gehen;6;Full|3|Sg|Past|Ind;VVFIN;8
48870;NZZ_1993_04_10_a216_seg13_s28;"Doch der schwierige Anfang und die jahrelangen Sorgen wirken immer noch nach : « Zu Anfang schien mir alles schlecht ; ich konnte mich an nichts gewöhnen .";ADJD;scheinen;17;Full|3|Sg|Past|Ind;VVFIN;20
48900;NZZ_1993_04_10_a216_seg15_s19;Es ist schlecht , immer zu Hause zu sitzen .;ADJD;sein;2;Sein|3|Sg|Pres|Ind;VAFIN;3
51748;NZZ_1993_04_13_a89_seg3_s3;"Den im Training so erfolgreichen Sauber-Fahrern erging es schlecht ; Wendlinger und Lehto schieden früh aus .";ADJD;ergehen;7;Full|3|Sg|Past|Ind;VVFIN;9
52205;NZZ_1993_04_13_a103_seg2_s22;Der Amerikaner sprach in Augusta davon , dass er sich Ende des letzten Jahres wegen seiner Beschwerden im Hüftbereich so schlecht gefühlt habe , dass er sich nicht habe vorstellen können , noch je einmal Golf zu spielen .;ADJD;fühlen;22;Full|Psp;VVPP;21
55161;NZZ_1993_04_13_a176_seg3_s7;Zu den « verdeckten Arbeitslosen » gehören Kurzarbeiter und Beschäftigte , die unbezahlt oder schlecht bezahlt in den Urlaub geschickt werden .;ADJD;oder;14;Coord|-2;KON;15
56250;NZZ_1993_04_14_a34_seg4_s11;Andere fühlen sich gleich nach der Nahrungsaufnahme für wenige Minuten schlecht .;ADJD;fühlen;2;Full|3|Pl|Pres|Ind;VVFIN;11
57705;NZZ_1993_04_14_a82_seg2_s18;Dass da selbst der Weltmeister ganz schlecht aussehen kann gegen die schwarzen Ball-Artisten und deren unkonventionelle Spielart , wissen nur die Experten .;ADJD;aussehen;8;Full|-2;VVINF;7
59418;NZZ_1993_04_14_a139_seg24_s9;Für das laufende Jahr erwartet Löschnak keine Besserung der Situation : Der Bericht für 1993 werde mindestens so schlecht wie 1992 , wenn nicht schlechter ausfallen , sagte der Minister .;ADJD;ausfallen;26;Full|-2;VVFIN;25
64401;NZZ_1993_04_15_a166_seg3_s1;Wenn aussenwirtschaftliche Beziehungen ein Gradmesser sein sollten , dann ist es um das Verhältnis zwischen Washington und Tokio schlecht bestellt .;ADJD;bestellen;20;Full|Psp;VVPP;19
64774;NZZ_1993_04_15_a178_seg2_s13;Vor allem ist er als Boden und Basis für ein Rendez-vous mit dem Ich schlecht geeignet - und so bliebe das im selbigen stecken , griffe da nicht - « what the hell who called me ? »;ADJD;eignen;16;Full|Psp;ADJD;15
65159;NZZ_1993_04_16_a5_seg6_s7;Die militärischen Optionen Washingtons werden in Regierungskreisen nach wie vor als schlecht bezeichnet .;ADJD;bezeichnen;13;Full|Psp;VVPP;12
65981;NZZ_1993_04_16_a46_seg6_s14;Die Kamera kommt den Figuren hier zu nahe , sie schafft eine Intimität , die sich schlecht verträgt mit Taverniers Anspruch , der am Innersten der Dinge rühren möchte gerade durch die Distanz , die er sich stets auferlegt .;ADJD;vertragen;18;Full|3|Sg|Pres|Ind;VVFIN;17
67099;NZZ_1993_04_16_a82_seg7_s10;Ein ausnahmsweise eingespielter Vergleich von zwei Aufnahmen , die einen Schlagersänger von einst und heute zeigen , fällt nicht zugunsten der aktuellen Produktion aus , und als sich die Moderatorin bei einem bestimmten Titel « chrotemässig » an einen ähnlichen Schlager erinnert fühlt , klärt sie ihr Publikum spontan auf : « Besser gut geklaut als schlecht komponiert ! »;ADJD;komponieren;58;Full|Psp;VVPP;57
68868;NZZ_1993_04_16_a150_seg2_s1;Trotz einer wirtschaftspolitischen Wende , welche den Abbau des Protektionismus und der Staatsindustrie zum Ziel hatte , kann das Wirtschaftssystem Bangladeshs den Anforderungen des Welthandels schlecht gerecht werden .;ADJD;rechen;27;Full|Psp;VVPP;26
70053;NZZ_1993_04_16_a193_seg6_s1;Als « staatsrechtlich bedenklich » stufte Küpfer die Rolle der Behörden ein , welche die Lehrkräfte schlecht schützten oder den Konflikt gar schürten .;ADJD;--;18;Full|3|Pl|Past|Ind;VVFIN;17
70514;NZZ_1993_04_17_a20_seg4_s4;Ebensogross ist die Zahl derjenigen , die die Vorbereitungen zur Teilung der ehemaligen CSFR als übereilt und schlecht bezeichneten .;ADJD;bezeichnen;19;Full|3|Pl|Past|Ind;VVFIN;18
73079;NZZ_1993_04_17_a88_seg3_s9;"Lang begann jedoch schlecht ; er wirkte verkrampft , gehemmt , so dass nach drei Niederlagen gar das Schlimmste nicht auszuschliessen war .";ADJD;beginnen;2;Full|3|Sg|Past|Ind;VVFIN;4
73586;NZZ_1993_04_17_a115_seg2_s24;"Die eigentliche Dramatik aber teilt sich über die Stimmen mit : wachsende Angst , Verzweiflung , verletzter Stolz bei Irena ( Michaela Steiger ) ; Aufrichtigkeit , leise Eifersucht , enttäuschte Warmherzigkeit bei Anna ( Désiréee Meiser ) ; Arroganz , zwiespältige Freundlichkeit , schlecht verhehlter Machismo bei Jan ( Michael Wittenborn ) , der Irenas Situation schamlos auszunützen versucht .";ADJD;--;46;Pos|Nom|Sg|Masc;ADJA;45
74982;NZZ_1993_04_17_a124_seg5_s2;« Aber heuer sind die Fänge so schlecht , dass ich zurzeit nur noch jeden zweiten Tag hinausfahre . »;ADJD;sein;4;Sein|3|Pl|Pres|Ind;VAFIN;8
75343;NZZ_1993_04_17_a142_seg2_s49;Männer , die mit Fleisch umzugehen wissen , die Träger mit Nummernketten um den Hals , mehrheitlich mit Krawatte und auffallend viele schlecht zu Fuss .;ADJD;zu;24;Dat;APPR;23
