;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
4854;NZZ_1993_04_01_a193_seg40_s5;Diese Strafe sass er bisher nicht vollständig ab , weil er zwischen 1974 und 1988 insgesamt siebenmal aus schweizerischen Gefängnissen ausbrach und sich dabei insgesamt acht Jahre auf der Flucht befand .;ADJD;sitzen;3;Full|3|Sg|Past|Ind;VVFIN;7
5099;NZZ_1993_04_01_a211_seg3_s7;Das versierte 16stimmige Vokalensemble Canti Lucenti hat den sehr anspruchsvollen Zyklus unter der Leitung von Michael Gohl jetzt nach fast 40 Jahren erstmals vollständig aufgeführt und damit kundgetan , welch feines Sensorium der Komponist für Trakls Sprache in der dissonanzreichen Tonalität dieser Musik entwickelt hat .;ADJD;aufführen;25;Full|Psp;VVPP;24
5595;NZZ_1993_04_02_a11_seg10_s7;Die Abhängigkeiten sickerten tief in die Mikrostrukturen der Gemeinden hinein , konditionierten das tägliche Leben und schalteten die Rechtsstaatlichkeit vollständig aus .;ADJD;schalten;17;Full|1|Pl|Past|Subj;VVFIN;20
6882;NZZ_1993_04_02_a72_seg5_s14;Darum benötigt sie primär ein System , das die internen Abläufe automatisiert , und diesbezüglich hat VTLS als vollständig integriertes System offensichtlich die besseren Karten ausspielen können ( die Details des Evaluationsverfahrens sind nicht öffentlich ) .;ADJD;integriert;20;Pos|Nom|Sg|Neut;ADJA;19
12398;NZZ_1993_04_03_a42_seg2_s19;Nie öffnet sich ihm der schwarze Vorhang vollständig .;ADJD;öffnen;2;Full|3|Sg|Pres|Ind;VVFIN;8
17085;NZZ_1993_04_03_a150_seg2_s21;Die Tatsache , dass einerseits die massive Tieferbewertung der Lira nicht zu einer höheren Inflationsrate geführt hat und dass anderseits der monetäre « Alleingang » einen sukzessiven Zinsabbau zum Vorteil der darniederliegenden Wirtschaft ermöglichte , hat inzwischen auch in Italien die Stimmen für eine rasche Rückkehr ins EMS ziemlich vollständig verstummen lassen .;ADJD;verstummen;51;Full|-2;VVINF;50
17809;NZZ_1993_04_03_a175_seg8_s3;Die Risiken und Konsequenzen der Diagnosen werden dabei vollständig ausgeblendet , wonach durch die invasiven - in die körperliche Integrität der Frau eingreifenden - Testmethoden es zu einem Spontanabort oder zur Verletzung von « gesunden » Föten kommen kann .;ADJD;ausblenden;10;Full|Psp;VVPP;9
17826;NZZ_1993_04_03_a175_seg9_s8;Die Konsequenzen des Schwangerschaftsabbruchs nach einer erwünschten Schwangerschaft werden vor dem Entscheid vollständig verdrängt .;ADJD;verdrängen;14;Full|Psp;VVPP;13
19602;NZZ_1993_04_05_a64_seg7_s3;Gerade unter diesen finanzpolitisch dramatischen Umständen ist es geboten , bestehende Steuerquellen möglichst vollständig auszuschöpfen .;ADJD;ausschöpfen;15;Full|zu;VVIZU;14
24002;NZZ_1993_04_06_a8_seg6_s9;Sie forderten die Demokratische Volksrepublik Korea auf , den weiterhin wirksamen Kontrollverpflichtungen der IAEA vollständig nachzukommen und ihre Ankündigung , den Atomwaffensperrvertrag aufzukündigen , rückgängig zu machen .;ADJD;nachkommen;16;Full|zu;VVIZU;15
27548;NZZ_1993_04_06_a142_seg6_s3;Obwohl drei Viertel dieser Mehrkosten von gesamthaft 190 Mrd. L. erst in diesem Jahr anfallen , sind sie bereits vollständig der Rechnung 1992 belastet worden .;ADJD;belasten;24;Full|Psp;VVPP;20
27622;NZZ_1993_04_06_a144_seg10_s7;Sie waren im Urteil von C+L vielmehr « konstruiert und grösstenteils bis vollständig falsch » .;ADJD;falsch;14;Pos;ADJD;13
29347;NZZ_1993_04_07_a40_seg1_s3;Dieses Syndrom hat eine starke genetische Komponente , doch können solche Defekte durch eine gesunde Lebensweise und Einhalten des Idealgewichts fast vollständig ausgeglichen werden .;ADJD;ausgleichen;23;Full|Psp;VVPP;22
31990;NZZ_1993_04_07_a126_seg2_s2;( sda ) Ein Einfamilienhaus in Zunzgen ist am Montag abend durch einen Brand fast vollständig zerstört worden .;ADJD;zerstören;17;Full|Psp;VVPP;16
31993;NZZ_1993_04_07_a126_seg2_s5;Trotz dem Einsatz der Feuerwehren von Zunzgen , Sissach und Tenniken brannte das Haus fast vollständig aus .;ADJD;brennen;12;Full|3|Sg|Past|Ind;VVFIN;16
32405;NZZ_1993_04_07_a153_seg4_s1;Die britische Regierung beabsichtigt , die nordirische Elektrizitätsversorgung in den nächsten Monaten vollständig zu privatisieren .;ADJD;privatisieren;15;Full|-2;VVINF;13
32689;NZZ_1993_04_07_a170_seg6_s1;c ) schliesslich 300 Mio. Fr. im Wege der Bildung einer Agio-Reserve , die das ausgewiesene Eigenkapital der damals noch vollständig ihm gehörenden Omni um diesen Betrag erhöhte .;ADJD;erhöhen;28;Full|3|Sg|Past|Ind;VVFIN;21
33313;NZZ_1993_04_07_a193_seg7_s3;Der Ombudsmann bedauerte denn auch , dass es nicht möglich war , den ungerechtfertigten Betreibungsregistereintrag vollständig zum Verschwinden zu bringen .;ADJD;bringen;20;Full|-2;VVINF;16
34738;NZZ_1993_04_08_a68_seg7_s6;Das Überfliegen von Flugzeugen in Länder , die als Spannungsgebiete eingestuft werden , wurde vollständig verboten , und für die übrigen Länder musste eine Bewilligung beim Departementsvorsteher eingeholt werden .;ADJD;verbieten;16;Full|Psp;VVPP;15
36674;NZZ_1993_04_08_a133_seg2_s6;Sie gilt als Europas grösstes , fast vollständig intaktes Renaissancequartier .;ADJD;intakt;9;Pos|Acc|Sg|Neut;ADJA;8
37006;NZZ_1993_04_08_a141_seg2_s27;Schade , dass das Werk von Cage aus zeitlichen Gründen nicht vollständig gesendet werden konnte .;ADJD;senden;13;Full|Psp;VVPP;12
40075;NZZ_1993_04_08_a217_seg3_s9;Der Dachstock brannte vollständig aus .;ADJD;brennen;3;Full|3|Sg|Past|Ind;VVFIN;4
42434;NZZ_1993_04_10_a82_seg10_s12;Die juristische Redaktorin der MDT , Elsa Mango , ist gegenwärtig noch damit beschäftigt , dieses Sach- und Namenregister auf die elektronische Datenbank für Tessiner Geschichte vollständig zu übertragen und zu verfeinern .;ADJD;übertragen;29;Full|-2;VVINF;27
47241;NZZ_1993_04_10_a156_seg5_s8;Da der nahezu transparente Fisch in der Regel nicht älter als zwölf Monate wird , war die Spezies in Gefahr , innerhalb der nächsten beiden Jahre vollständig vernichtet zu werden .;ADJD;vernichten;28;Full|Psp;VVPP;27
