;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
426;NZZ_1993_04_01_a26_seg8_s7;Seines für die damalige Zeit zu starken Reformeifers wegen fiel er aber in Peking in Ungnade und landete beinahe im Gefängnis , als ein von seinen Untergebenen betriebener , florierender Schmuggel mit Mercedes-Limousinen aufflog .;ADV;landen;18;Full|3|Sg|Past|Ind;VVFIN;19
6571;NZZ_1993_04_02_a64_seg2_s7;Jahrzehntelang verweigerte sich die Alte Welt gerade jenem modernen transatlantischen Maler , der , in jungen Jahren entscheidend von Henri Matisse beeinflusst , eine beinahe europäisch anmutende figurative Darstellungsweise pflegte .;ADV;europäisch;26;Pos;ADJD;25
17752;NZZ_1993_04_03_a174_seg28_s13;Zwischen dem über dem Mittelmeer zunächst beinahe stationär werdenden Wirbel und einem neuen , vom Atlantik heranziehenden Tiefdrucksystem entsteht zunächst ein flaches Zwischenhoch , das uns am Samstag zögernde Wetterbesserung und am Sonntag morgen etwas Sonne bringen dürfte , bevor eine schwache Störung am Abend wieder geringen Regen bringt .;ADV;stationär;8;Pos;ADJD;7
17954;NZZ_1993_04_03_a179_seg2_s13;Auf Grund von Barata Quintás wohlformulierten Charakterisierungen jenes Landesteils , der so wenig zu tun hat mit unseren Vorstellungen eines Spaniens der Kastagnetten und Flamencoklänge , lässt sich einiges von der starken Bindung der Galicier zu ihrem Ursprungsort erahnen , von der Erdverbundenheit , von der Sehnsucht , die die Rückkehr beinahe zur Notwendigkeit macht , und sei es auch nur , um zu Hause zu sterben - alles Gefühle , für die die galicische Sprache einige nicht zu übersetzende Ausdrücke geschaffen hat .;ADV;zu;53;Dat|Sg|Fem;APPRART;52
20740;NZZ_1993_04_05_a99_seg3_s11;Unkontrolliert schwang es sich über die Bahn , wickelte sich dem Jockey Richard Dunwoody gar um den Hals und riss ihn beinahe vom Pferd .;ADV;reißen;20;Full|3|Sg|Past|Ind;VVFIN;22
21638;NZZ_1993_04_05_a123_seg3_s10;Die Zeiten , in denen die Gegner im Tourbillon vor dem für seine Heimstärke bekannten FC Sion in Ehrfurcht beinahe erstarrten und vor lauter Respekt kaum wagten , selbst die Initiative zu übernehmen , scheinen endgültig der Vergangenheit anzugehören .;ADV;erstarrt;21;Pos|Dat|Sg|Neut;VVFIN;20
24256;NZZ_1993_04_06_a20_seg2_s8;Ethnische und religiöse Konflikte sowie Gebietsstreitigkeiten sind Ursachen dafür , dass sich Tschad seit Jahren im Zustand beinahe konstanten Bürgerkriegs befindet .;ADV;konstant;19;Pos|Gen|Sg|Masc;ADJA;18
25490;NZZ_1993_04_06_a71_seg1_s7;Allein vor diesem Hintergrund lässt sich einerseits das beinahe ehrfürchtige Bangen einer ganzen Nation um den möglichen Erfolg , lassen sich andererseits die bewusst zurückhaltend formulierten Prognosen der Fachpresse verstehen .;ADV;ehrfürchtig;10;Pos|Nom|Sg|Neut;ADJA;9
25871;NZZ_1993_04_06_a84_seg3_s12;Denn der Favorit erschien erst kurz vor Spielbeginn am Ort , nachdem er zuvor beinahe 48 Stunden im Bus verbracht hatte .;ADV;48;16;--;CARD;15
26217;NZZ_1993_04_06_a94_seg2_s3;Sein sorgfältig recherchierter , beinahe nur aus Interviews mit Fachleuten bestehender Bericht wurde leise eingestimmt mit einem Gedicht von Nelly Sachs .;ADV;aus;7;Dat;APPR;5
