;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
2869;NZZ_1993_04_01_a128_seg4_s12;Noch winkt den Winterthurern indessen die leise Chance , via ein letztes Hintertürchen , sprich Tie-break , in die Medaillenränge vorzurücken .;ADJA;Chance;8;Reg|Acc|Sg|Fem;NN;7
2933;NZZ_1993_04_01_a130_seg5_s4;"Sie sind erdverbunden , offen ; in ihren Stolz ist leise Melancholie eingebettet .";ADJA;Melancholie;12;Reg|Nom|Sg|Fem;NN;11
6385;NZZ_1993_04_02_a52_seg14_s25;"« Die &lt;psychische Qualität&gt; der Kopfstimme » , schreibt die grosse deutsche Gesangspädagogin Franziska Martienssen-Lohmann , offenbart sich in allem , was leise ist in dieser lauten Welt : Zärtlichkeit , Anmut , Grazie , sanfte Hingabe , verhaltene Glut , dämonische Überredung , Inbrunst , mystischer Schauer , mysteriöse Anbetung , heimliches Verlangen , lockende Verführung , Werbung - eine unerschöpfliche Skala seelischer Wirklichkeiten . »";ADJD;sein;24;Sein|3|Sg|Pres|Ind;VAFIN;23
6579;NZZ_1993_04_02_a64_seg2_s15;Der grundsätzlich leise Ton , den seine beste Malerei spricht , sowie die ( scheinbare ) « Leichtigkeit » seiner mit kalifornischem Licht durchfluteten Darstellungen - nicht zu verwechseln mit der Heiterkeit eines Sam Francis - mögen ebenfalls dazu beigetragen haben , dass sie in der Alten Welt so lange Zeit überhört wurde .;ADJA;Ton;4;Reg|Nom|Sg|Masc;NN;3
6591;NZZ_1993_04_02_a65_seg2_s9;"Jenseits von Gut und Böse aber , ganz wortwörtlich , hat der Oltener Moll seither - und jetzt wieder in « Die bösen Buben » - Fragen gesucht , wo andere längst mit vermeintlichen Antworten aufwarten konnten ; leise und unaufdringlich gestellte Fragen , die ihn von den « Soziologen » des Dokumentarfilms sozusagen als dessen heimlichen « Philosophen » abheben : zum Beispiel was Menschen dazu bringt , so zu leben , wie sie es tun ; wie sie sich einrichten ( oder nicht einrichten ) innerhalb von vorgegebenen Strukturen , warum sie sich einrichten in einem Traum , der eine Combo sein kann ( « Samba Lento » ) , warum in einem Ehrgeiz , der sich ausgerechnet in einer Schuhfabrik erfüllen will ( « Der Schuh des Patriarchen » ) oder in einer Sehnsucht , die nach der Freiheit einer Kosetier-Ratte strebt ( « Die bösen Buben » ) .";ADJD;und;40;Coord|-2;KON;39
11834;NZZ_1993_04_03_a28_seg1_s1;Das leise Sterben im Süden des Sudans Hintergründe einer schwelenden humanitären Katastrophe;ADJA;Sterben;3;Reg|Nom|Sg|Neut;NN;2
26214;NZZ_1993_04_06_a94_seg1_s1;« Lasst uns das Leben leise wieder lernen »;ADJD;lassen;2;Full|2|Pl|Pres|Ind;VVFIN;6
26217;NZZ_1993_04_06_a94_seg2_s3;Sein sorgfältig recherchierter , beinahe nur aus Interviews mit Fachleuten bestehender Bericht wurde leise eingestimmt mit einem Gedicht von Nelly Sachs .;ADJD;einstimmen;15;Full|Psp;VVPP;14
41228;NZZ_1993_04_10_a43_seg2_s16;Aline Valangin bevorzugt kurze , beinahe spröde Sätze und einen leise ironischen Ton .;ADJA;Ton;13;Reg|Acc|Sg|Masc;NN;11
63047;NZZ_1993_04_15_a128_seg2_s11;Leider ist auch vom Rest des Gesprächs nicht zu vermelden , dass es sich hoch über dieses Amateurliga-Niveau aufgeschwungen hätte : DRS-Direktor Schellenberg war die ganze Diskussion sichtlich ein überflüssiges Ärgernis , und S-plus-Direktor Oppenheim hatte die undankbare Aufgabe , über ungelegte Eier nicht zu laut und auch nicht zu leise zu gackern - den einen ( Anne Gloor ) war ' s zu leise , uns schon eher ein bisschen zu laut .;ADJD;.;74;Pun|Sent;$.;65
65894;NZZ_1993_04_16_a42_seg3_s8;Kein E-Zug , der leise unter Stromleitungen dahingleitet , sondern schwer stampfende Kolosse aus dem Dampfzeitalter .;ADJD;dahingleiten;8;Full|3|Sg|Pres|Ind;VVFIN;5
72165;NZZ_1993_04_17_a75_seg30_s4;"&gt sagte er leise , &lt;Achtung !";ADJD;sagen;2;Full|3|Sg|Past|Ind;VVFIN;4
73585;NZZ_1993_04_17_a115_seg2_s23;Maleckis Haus ist auch akustisch Zuflucht , abgegrenzter Privatbereich , dem nur einmal , fast unmerklich leise , ein Wagen der Gestapo sich nähert und wieder wegfährt , nachdem vor dem Nachbarhaus ein paar Schüsse gefallen sind .;ADJD;nähern;24;Full|3|Sg|Pres|Ind;VVFIN;17
73586;NZZ_1993_04_17_a115_seg2_s24;"Die eigentliche Dramatik aber teilt sich über die Stimmen mit : wachsende Angst , Verzweiflung , verletzter Stolz bei Irena ( Michaela Steiger ) ; Aufrichtigkeit , leise Eifersucht , enttäuschte Warmherzigkeit bei Anna ( Désiréee Meiser ) ; Arroganz , zwiespältige Freundlichkeit , schlecht verhehlter Machismo bei Jan ( Michael Wittenborn ) , der Irenas Situation schamlos auszunützen versucht .";ADJA;Eifersucht;29;Reg|Nom|Sg|Fem;NN;28
75224;NZZ_1993_04_17_a137_seg2_s50;Sein weisser Beinring klapperte leise an den Maschendraht , so nah war er getrippelt .;ADJD;klappern;4;Full|3|Sg|Past|Ind;VVFIN;5
77588;NZZ_1993_04_19_a43_seg2_s25;Und im Rückblick von der « Wende » her erfährt auch seine ursprüngliche Prämisse von selbst eine leise Korrektur : die Politik der Kirche war nicht ohne Anteil , im wesentlichen aber doch Funktion des Weltgeschehens - und dies erst recht in früheren Jahrzehnten .;ADJA;Korrektur;19;Reg|Nom|Sg|Fem;NN;18
86329;NZZ_1993_04_21_a35_seg2_s9;"Namhafte Pädagogen , wie etwa Tissots Briefpartner Rousseau , teilten diese radikale Mentalität ; mildere Stimmen tönten eher leise .";ADJD;tönen;17;Full|3|Pl|Past|Ind;VVFIN;19
110341;NZZ_1993_04_24_a203_seg2_s19;Dafür zeigen Schumann und sein Regisseur Simon Gisler leise Szenen , oft von dichter Eindringlichkeit , eines Suchens , das zu vermeintlichem Finden und in Resignation führt .;ADJA;Szene;10;Reg|Nom|Pl|Fem;NN;9
113077;NZZ_1993_04_26_a108_seg3_s33;Das nämlich erleben nur die live , die am Sonntag bereits gegen sechs Uhr kommen und sich um das 18. Grün placieren , dezent , freundlich und leise , wie Golf-Fans nun mal sind - auch wenn sie nicht so genannt werden wollen .;ADJD;und;27;Coord|-2;KON;28
115776;NZZ_1993_04_26_a210_seg3_s6;Gewinnt dagegen die Mannschaft von Otto Rehhagel , kann sich nicht nur der Europacup-Sieger wieder Titelchancen ausrechnen , auch weitere Teams dürfen dann wieder leise hoffen , allen voran Dortmund .;ADJD;hoffen;26;Full|-2;VVINF;25
138839;NZZ_1993_08_02_a18_seg10_s2;Nur in Flandern klang zuweilen leise Kritik an dem offensichtlichen Festhalten des « Hofes » an alten belgischen Strukturen auf .;ADJA;Kritik;7;Reg|Nom|Sg|Fem;NN;6
163483;NZZ_1993_08_07_a70_seg11_s9;Auch werden zuweilen übergenau gezeigte Landschaften , Menschen , Gebärden leise verdächtig : so als müsste eben das Erträumte besonders präzis behandelt werden , damit es glaubhaft erscheine .;ADJD;verdächtig;12;Pos;ADJD;11
163615;NZZ_1993_08_07_a71_seg14_s15;Mit Herrn Sesemann , dem mit ihm befreundeten Arzt und dem Pfarrer im Dörfli ist eine leise melancholische Trias aufgeklärter Väter gezeichnet , verwitwet allesamt , deren Tochter-Vorstellung gegen Ende des zweiten Bandes der Herr Doktor auf den verräterischen Punkt bringt :;ADJA;--;19;Reg|Nom|Sg|Fem;NN;17
176079;NZZ_1993_08_10_a93_seg3_s2;Und so blieb es an diesem « Weibersonntag » in Locarno , trotz verletztem Männerstolz , der seinen Unmut laut oder leise kundtat , und trotz Zweiflerinnen in den eigenen Reihen , die fanden , fürs Festen können man die Männer doch gerade noch am besten brauchen .;ADJD;oder;21;Coord|-2;KON;22
184702;NZZ_1993_08_13_a38_seg3_s7;Der minuziös ausgestaltete Roman verdient allenfalls die leise Kritik , dass McGahern zuviel einzubringen sucht und mit der etwas starren Dichotomie an Grenzen stösst .;ADJA;Kritik;9;Reg|Nom|Sg|Fem;NN;8
190515;NZZ_1993_08_14_a126_seg2_s91;Halb ist sie in den Bildern Raphaela Bürgis noch betörende weibliche Figur mit weichem Schoss und einladenden Brüsten , halb schon ist sie leise rauschendes Blattwerk , im Übergang begriffen , weder ganz das eine noch völlig das andere .;ADJD;sein;22;Sein|3|Sg|Pres|Ind;VAFIN;24
192518;NZZ_1993_08_16_a24_seg8_s1;Um dies zu erläutern , nennt er die ersten forschen Oktavsprünge unmittelbar im Anschluss an die leise absteigenden Unisono-Modulationen des Initialgedankens .;ADJA;--;19;Reg|Acc|Pl|Fem;NN;17
194981;NZZ_1993_08_16_a109_seg1_s1;Der Älteste bleibt der Schnellste Laute und leise Herausforderer gegen Christie chancenlos;ADJA;Herausforderer;9;Reg|Nom|Pl|Masc;NN;8
197189;NZZ_1993_08_17_a39_seg2_s20;Sich einer Musik zu öffnen , die , über weite Strecken langsam und leise , durch den Raum wandert , die den Körper des Zuhörers von der einen Seite zur anderen hin durchquert , die mit ungewohnten Spannungswechseln , mit subtilen Farbveränderungen und Echowirkungen aufwartet - das ist allerdings eine elementare Erfahrung .;ADJD;und;13;Coord|-2;KON;14
230798;NZZ_1993_08_27_a96_seg3_s1;Die Töne sind leise geworden , das Image des einstigen Superstars der europäischen Golfer hat Schrammen bekommen .;ADJD;werden;5;Aux|Psp;VAPP;4
233731;NZZ_1993_08_28_a47_seg2_s4;Das Stück « Sonatas 555 » , das sie vor einem Jahr für das Festival von Avignon choreographiert und nun als Eröffnungsstück der 7. Berner Tanztage in der Dampfzentrale präsentiert hat , ist sehr fein und leise , sehr fröhlich und frisch .;ADJD;und;36;Coord|-2;KON;37
238604;NZZ_1993_08_30_a37_seg6_s17;An dem Tag , als ich in La Salette eingetroffen war , wölbte sich ein strahlend blauer Himmel über die Wallfahrtsstätte , und ein leichter Wind liess die auf den Zaunspitzen abgelegten Plasticbecher zum Wasserschöpfen leise und rhythmisch klappern .;ADJD;und;37;Coord|-2;KON;36
243961;NZZ_1993_07_31_a88_seg14_s15;Mit Herrn Sesemann , dem mit ihm befreundeten Arzt und dem Pfarrer im Dörfli ist eine leise melancholische Trias aufgeklärter Väter gezeichnet , verwitwet allesamt , deren Tochter-Vorstellung gegen Ende des zweiten Bandes der Herr Doktor auf den verräterischen Punkt bringt :;ADJA;--;19;Reg|Nom|Sg|Fem;NN;17
254861;NZZ_1993_12_02_a53_seg2_s1;Zuerst verschwinden die Engel aus den Himmeln , danach die Teufel aus der Hölle , und schliesslich stirbt still und leise Gott selbst .;ADJA;Gott;22;Reg|Nom|Sg|Masc;NN;21
279628;NZZ_1993_12_07_a78_seg2_s18;Es wäre gegebenenfalls nicht das erste Mal , dass ein Gremium der 26 Kantone später mangels dynamischen Vorsitzes still und leise einen Platz im hintern Parkett einnimmt .;ADJD;und;20;Coord|-2;KON;21
300935;NZZ_1993_12_11_a40_seg3_s12;Seine letzte Eintragung lautet : « Er ging leise aus dem Leben fort , wie einer , der eine langweilige Filmvorführung verlässt , vorsichtig , um die andern nicht zu stören . »;ADJD;gehen;8;Full|3|Sg|Past|Ind;VVFIN;9
301764;NZZ_1993_12_11_a69_seg10_s10;An ihren Enden finden sich Peristyle mit tropischen Pflanzen und leise tröpfelnden Brunnen .;ADJA;Brunnen;13;Reg|Acc|Pl|Masc;NN;11
301884;NZZ_1993_12_11_a70_seg8_s38;Das sehr leise , verhalten und fahl verklingende Satzende wird durch Quintparallelen und einen terzlosen Quint-Oktav-Klang ( Klavier allein ) noch mehr betont .;ADJD;und;6;Coord|-2;KON;3
317347;NZZ_1993_12_14_a185_seg2_s1;M. D. Kein Tusch zum Ende , leise läuft mit 1993 das europäische « Jahr der älteren Menschen » aus .;ADJD;laufen;9;Full|3|Sg|Pres|Ind;VVFIN;8
326009;NZZ_1993_12_16_a124_seg5_s8;Es kracht leise , wenn die Glasur bricht zwischen den Zähnen und mit einem Mal das Fruchtaroma ausströmt .;ADJD;krachen;2;Full|3|Sg|Pres|Ind;VVFIN;3
334589;NZZ_1993_12_17_a241_seg1_s1;30 Jahre und kein bisschen leise The Kinks im Schützenhaus Albisgütli;ADJD;Kink;8;Name|Nom|Pl|*4;NE;6
339677;NZZ_1993_12_20_a118_seg10_s6;Mit Stirnlampen ausgerüstet , wollten sie sich noch vor dem frühen Eindunkeln auf die Suche machen , als sich De Zolt leise fluchend zu einer nächsten Trainingsrunde anschickte , mit der Bemerkung , er werde einfach nicht müde , sei noch nicht « leer » .;ADJD;fluchend;23;Pos;ADJD;22
357941;NZZ_1993_12_24_a45_seg2_s21;Gemeinsame Formationen bilden sich nur in Ansätzen , lösen sich gleich wieder auf , wie auch das Klanggeschehen von Willems geprägt ist von immer neuen Ansätzen , schrill und leise , getragen und zerfetzt , mit vielen Pausen .;ADJD;getragen;32;Pos;VVPP;30
368103;NZZ_1993_12_27_a144_seg2_s1;M. D. Mitten in einer Zeit , in der niemand mehr Zeit hat , schon verabredet oder bereits festtäglich entnervt ist , hat die Liedermacherin Véronique Muller die Kühnheit , kurzfristig ein Konzert zu annoncieren - leise Töne für eine laute Zeit .;ADJA;Ton;38;Reg|Acc|Pl|Masc;NN;37
386723;NZZ_1993_02_02_a41_seg2_s11;Später , im zweiten Satz , bemerkte man mit Überraschung , wie nahtlos eine Bewegung in der Pauke , wird sie wirklich leise gespielt , von der Harfe übernommen werden kann .;ADJD;spielen;24;Full|Psp;VVPP;23
400597;NZZ_1993_02_04_a188_seg2_s26;Ein Abend , der leise spricht und darin Reichtum ungeahnten Ausmasses findet .;ADJD;sprechen;6;Full|3|Sg|Pres|Ind;VVFIN;5
407169;NZZ_1993_02_06_a90_seg16_s15;"Es ist aber auch gar nicht notwendig ; angestrebt ist ein in sich bewegtes und diffuses Klangfeld , das sich , überwiegend leise , in tiefer Registerlage entfaltet .";ADJD;entfalten;28;Full|3|Sg|Pres|Ind;VVPP;23
407214;NZZ_1993_02_06_a91_seg13_s2;"Von unsichtbarer Flamme vergoldete Tiere , [ ... ] empfangen sie auf ihre schmale , knochige Stirn ( ein Schädel fast schon ) das heilige Öl der Dämmerung , die Sonnensalbung ... [ es ist ] , als wären sie gemeinsam damit beschäftigt , leise Worte zu buchstabieren : « Gras » , « Erde » , « Weide » ; vielleicht gar « höchster Friede » , « Friede ohne Ende » , « Ruhe in der Mitte auf immer » ...";ADJA;Wort;46;Reg|Acc|Pl|Neut;NN;45
