id;global_id;kontext;cor_conceptual_head_+1_lemma;target_noun_lemma;Kommentar;Status;Adverbial;prozess;Typ;Valenz;prep_meaning_parent;prep_meaning_leaves;;;;;;;;;
1;nzz_1993_04_28_a77_seg3_s35;Mit der gleichen Stossrichtung hatte der Thurgauer Sozialdemokrat Onken im Ständerat postuliert . ;postulieren;stosrichtung|stossrichtung;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
2;nzz_1993_03_31_a133_seg7_s7;Mit einem Seitenhieb gegen jene Kreise , welche die permanente Agonie der Staatsindustrie kritisieren , meinte er ironisch , dass nun auch die privaten Firmen offenbar die Krise zu spüren bekämen . ;meinen;seitenhieb;BU;problem;yes;no;;;modal ;ein_vorgang ;;;;;;;;;
3;nzz_1993_04_28_a183_seg3_s12;Die 3250 neuen Namenaktien im Nennwert von 1000 Fr. werden den bisherigen Aktionären ( und früheren Genossenschaftern ) mit einem Aufschlag von 2000 Fr. angeboten . ;anbieten|angebieten;aufschlag;;done;yes;yes;degree;frei;modal ;ein_vorgang ;;;;;;;;;
4;nzz_1996_07_26_a185_seg10_s3;Dennoch finden immer wieder Stücklein von erstaunlicher Qualität ins Programm , wie Dillier am Beispiel einer bearbeiteten Feriengeschichte mit witziger Pointe erläutert . ;erläutern;pointe;ambig ModNP;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
5;nzz_1996_07_26_a63_seg12_s5;Zu diesem Zweck schloss das landesweit für den Import von Erdgas zuständige Unternehmen Enagás ( Empresa Nacional de Gas ) , das seit 1994 mehrheitlich zur börsenkotierten Distributionsgesellschaft Gas Natural gehört , die besagten Abnahmeverträge mit Algerien ab und sicherte sich darüber hinaus über eine Tochtergesellschaft mit marokkanischer Minderheitsbeteiligung die Durchleitungsrechte für die nächsten 20 Jahre . ;tochtergesellschaft;minderheitsbeteiligung;ModNP;not_of_interest;no;;;;modal ;ein_vorgang ;;;;;;;;;
6;nzz_1996_07_24_a132_seg8_s2;Die zweistöckigen Wohneinheiten sind hufeisenförmig zueinander angelegt mit offenem Durchgang zum unteren Tor . ;anlegen;durchgang;Depiktiv;done;no;;;;modal ;ein_vorgang ;;;;;;;;;
7;nzz_1996_07_25_a97_seg6_s25;So lauten letzte Worte , « mit Bleistift hingekritzelt » . ;--;bleistift;ambig INSTR  ;done;yes;yes;methode;frei;modal ;ein_vorgang ;;;;;;;;;
8;nzz_1996_07_23_a140_seg3_s12;Im vergangenen Jahr wurde er Weltmeister - mit dänischer Lizenz , aber kenyanischem Pass . ;weltmeister;lizenz;Depiktiv;not_of_interest;;;;;modal ;ein_vorgang ;;;;;;;;;
9;nzz_1996_07_25_a188_seg7_s10;Die Suche nach der typischen Ferienfamilie dauert nicht lange : Vierköpfig , blond sitzt sie plötzlich da , mit Liegestuhl für die etwas beleibtere , aber sehr gepflegte Mutter , Sonnenschirm , Kühlbox mit Bier für den eher währschaften Vater und Coca light für die wohlgeratene Nachfolgegeneration , Sohn und Tochter . ;sitzen;liegestuhl;Depiktiv;not_of_interest;;;;;modal ;ein_vorgang ;;;;;;;;;
10;nzz_1996_07_24_a138_seg3_s5;Der Wortführer der Räuber ist 25 bis 30 Jahre alt , hat kurzgeschnittene dunkle Haare und sprach Schweizerdeutsch mit ausländischem Akzent . ;sprechen;akzent;;done;yes;yes;rein;frei;modal ;ein_vorgang ;;;;;;;;;
11;nzz_1993_08_30_a40_seg2_s10;« Mit Vorbehalt » kam laut Mitteilung die Ja-Parole zum Bundesbeschluss über die Massnahmen in der Arbeitslosenversicherung zustande . ;kommen;vorbehalt;unknown;done;yes;yes;agens;frei;modal ;ein_vorgang ;;;;;;;;;
