;ID-NZZ;sentence;Funktion-Hit;Head;ID-Head;Meta-Kopf;Function-Head;ID-Token
4002;NZZ_1993_04_01_a152_seg3_s7;Als Abfall soll künftig nur noch gelten , was nicht mehr wiederverwertet werden kann , weil das « technisch unmöglich , ökologisch unsinnig oder wirtschaftlich unzumutbar » ist .;ADJD;unsinnig;23;Pos;ADJD;22
6121;NZZ_1993_04_02_a39_seg2_s3;Dass wir bei unserer eigenen Entwicklung ökologisch auch nicht gerade zimperlich waren und auf welch schwindelerregend hohem Ressourcenniveau wir uns nach wie vor bewegen , wird immer wieder grosszügig übersehen .;ADJD;sein;12;Sein|1|Pl|Past|Ind;VAFIN;7
10911;NZZ_1993_04_02_a202_seg3_s2;Mindestens schälten sich die Kernpunkte des Widerstandes gegen die Grossdeponie Lybenstein - einen der kantonsweit aus ursprünglich 77 evaluierten Stellen übriggebliebenen sechs Standorte - klar heraus : Befürchtungen wegen des Transportverkehrs auf der ohnehin stark belasteten Einfallsachse Pfaffhausen-Witikon , Bedenken wegen der Geruchsbelästigung aus der genau im Westwind gelegenen Deponie und schliesslich ökologisch motivierte Gegnerschaft hinsichtlich der ( unumgänglichen ) Waldrodung .;ADJD;motiviert;54;Pos|Nom|Sg|Fem;ADJA;53
11641;NZZ_1993_04_03_a19_seg2_s28;Weder Iran noch die Türkei sind wirtschaftlich in der Lage , den ausgeplünderten und ökologisch geschädigten ehemaligen Sowjetrepubliken viel zu bieten .;ADJD;und;14;Coord|-2;KON;15
15070;NZZ_1993_04_03_a110_seg1_s7;Manche unter den fast eintausend Fledermausarten sind ökologisch so wichtig , dass andere Tier- und Pflanzenarten ohne sie aussterben würden .;ADJD;wichtig;10;Pos;ADJD;8
33116;NZZ_1993_04_07_a184_seg3_s3;Die neue Tageszeitung bezeichnet sich als « unabhängig , sozial , ökologisch » , und sie will mit dieser Bezeichnung dokumentieren , nicht mehr allein das Parteiblatt der SP zu sein , sondern journalistisch ein breiteres Spektrum , nämlich das gesamte links-grüne , abzudecken .;ADJD;unabhängig;8;Pos;ADJD;12
35052;NZZ_1993_04_08_a81_seg2_s3;Malaysia hat gegenüber der Schweiz die Versicherung abgegeben , dass es dem Grundsatz der ökologisch vertretbaren Nutzung des Regenwaldes nachleben wolle .;ADJD;vertretbar;16;Pos|Gen|Sg|Fem;ADJA;15
56850;NZZ_1993_04_14_a49_seg6_s13;Europaweit sei eine leistungsabhängige Schwerverkehrsabgabe erforderlich , und in ökologisch sensiblen Gebieten wie zum Beispiel den Alpen müssten die Transitgüter konsequent auf die Bahn verlagert werden ( Stichwort Alpeninitiative ) .;ADJD;sensibel;11;Pos|Dat|Pl|Neut;ADJA;10
66438;NZZ_1993_04_16_a64_seg8_s8;Schmid sieht in diesem Bereich als mögliches Resultat der Luzerner Konferenz zum Beispiel Beschlüsse für die Realisierung von Musterprojekten , in welchen mit ökologisch sanftem Tourismus gleichzeitig die wirtschaftliche Entwicklung gefördert und die biologische Vielfalt erhalten werden könnte .;ADJD;sanft;25;Pos|Dat|Sg|Masc;ADJA;24
71731;NZZ_1993_04_17_a68_seg3_s4;Mit dem Tropenholz-Label bekäme der Konsument die Möglichkeit , nur noch « moralisch und ökologisch saubere » Tropenholzprodukte zu wählen und andere Erzeugnisse zu boykottieren , sagte Imboden .;ADJD;und;14;Coord|-2;KON;15
76641;NZZ_1993_04_17_a203_seg2_s3;So heisst es auf einer Ausstellungstafel , die Swissair bekenne sich mitverantwortlich für die Entwicklung und Durchsetzung einer ökologisch verträglichen Form des Wirtschaftens .;ADJD;verträglich;20;Pos|Gen|Sg|Fem;ADJA;19
95778;NZZ_1993_04_22_a191_seg6_s9;Wenn die Wirtschaftspolitik eine echte Stärkung der effektiven Nachfrage erreichen wolle , seien neue Lasten für die Wirtschaft , gleichgültig ob sie fiskalisch oder ökologisch motiviert seien , auf jeden Fall strikt zu vermeiden .;ADJD;oder;24;Coord|-2;KON;25
109206;NZZ_1993_04_24_a160_seg2_s30;Es werden ihr aus politischen Gründen Aufgaben zugeordnet , die man etwa gemeinwirtschaftlich , gemeinnutzenstiftend oder gesellschaftlich und ökologisch gerechtfertigt nennt .;ADJD;und;18;Coord|-2;KON;19
109234;NZZ_1993_04_24_a160_seg2_s58;Sie seien überdies geeignet , eine allgemeine ( und ökologisch erwünschte ) Extensivierung der Produktionsmethoden zu bewirken .;ADJD;und;9;Coord|-2;KON;10
122025;NZZ_1993_04_27_a158_seg2_s9;Geprägt hat die Debatte der scheinbar unüberbrückbare Gegensatz zwischen dem wirtschaftlich Notwendigen und dem ökologisch Wünschbaren .;ADJD;Wünschbar;16;Reg|Dat|Sg|Neut;NN;15
138212;NZZ_1993_03_31_a173_seg6_s6;Sägesser dagegen begründete sein Nein zur Initiative damit , dass ökologisch mit einem Moratorium für den Flughafen nichts gewonnen sei und man damit das Gegenteil von dem täte , was in dieser wirtschaftlich schwierigen Zeit unter dem Stichwort « Revitalisierung » gefordert wird .;ADJD;gewinnen;19;Full|Psp;VVPP;11
143234;NZZ_1993_08_02_a154_seg3_s4;Auf die heutige , wegen der grossen Arbeitslosigkeit für viele schwierige Zeit eingehend , meinte der Polizei- und Militärdirektor des Kantons Zürich , wir müssten uns überlegen , welchen Lebensstandard wir uns in Zukunft ökologisch leisten könnten und ökonomisch leisten wollten und wieviel wir persönlich bereit seien , dafür beizutragen .;ADJD;leisten;36;Full|-2;VVINF;35
144267;NZZ_1993_08_03_a38_seg12_s5;Dieser soll Architekten und Planern standardisierte Grundlagen für ihre ökologisch relevanten Entscheidungen vermitteln .;ADJD;relevant;11;Pos|Acc|Pl|Fem;ADJA;10
157847;NZZ_1993_08_06_a43_seg2_s10;Sollte ein solches Vorhaben später dennoch in einer Weise , die das Prädikat « ökologisch » verdient , realisiert werden können , so würde die heute gewählte Form der Wässermattenstiftung keinen Hinderungsgrund bilden , im Gegenteil , dank ihr werden Wässermatten im Langetental dann überhaupt noch existieren !;ADJD;verdienen;17;Full|3|Sg|Pres|Ind;VVPP;15
159835;NZZ_1993_08_06_a113_seg1_s47;Der Film zeigt die Hintergründe dieses Umweltdramas und berichtet über die Versuche , die wenigen noch vorhandenen , ökologisch wertvollen Wälder zu retten .;ADJD;wertvoll;20;Pos|Acc|Pl|Masc;ADJA;19
174094;NZZ_1993_08_10_a43_seg9_s6;Wenn aber heute Landwirte und Förster einen im Mittelland zur Rarität gewordenen ökologisch wertvollen Waldrand schaffen wollen , kann schon die Frage , wohin man mit dem periodisch anfallenden « Gestrüpp » soll , zur Hemmschwelle werden .;ADJD;wertvoll;14;Pos|Acc|Sg|Masc;ADJA;13
174222;NZZ_1993_08_10_a54_seg2_s7;Die Politik setze ökonomisch und ökologisch falsche Prioritäten .;ADJD;und;5;Coord|-2;KON;6
